2024-01-05|09:00:00|MRR|SubscriptionRevenue|85000.00
2024-01-05|09:05:00|DRR|SubscriptionRevenue|1200.00
2024-01-10|10:00:00|OfficeRent-Jan|CompanyBankAcc|-12000.00
2024-01-15|14:22:11|OfficeEquipment-Chairs|IKEA-Business|-4200.50
2024-01-20|11:03:44|SoftwareSubscription-SaaSTools|Microsoft|-2800.00
2024-02-01|09:00:00|MRR|SubscriptionRevenue|90000.00
2024-02-10|10:15:10|Payroll-EngineeringTeam(Feb)|CompanyBankAcc|-120000.00
2024-02-10|10:20:10|Payroll-MarketingTeam(Feb)|CompanyBankAcc|-60000.00
2024-02-10|10:25:10|Payroll-AdminStaff(Feb)|CompanyBankAcc|-28000.00
2024-02-18|16:41:09|OfficeEquipment-Laptops|AmazonBusiness|-9800.75
2024-03-01|09:00:00|MRR|SubscriptionRevenue|95000.00
2024-03-05|12:00:00|SalesCommissionPayoutQ1|CompanyBankAcc|-25000.00
2024-03-12|09:30:00|Invoice1001Payment|Client-JoeIndustries|1200.00
2024-03-15|11:30:00|OfficeSupplies-ErgonomicEquipment|AmazonBusiness|-1500.50
2024-04-01|09:00:00|MRR|SubscriptionRevenue|98000.00
2024-04-10|10:00:00|Payroll-FullCompanyCycle|CompanyBankAcc|-180000.00
2024-04-18|09:15:00|StripeDepositBatch|StripePayout|500.00
2024-05-01|09:00:00|MRR|SubscriptionRevenue|102000.00
2024-05-12|10:00:00|EnterpriseContractRevenue|SalesRevenue|250000.00
2024-06-01|09:00:00|MRR|SubscriptionRevenue|110000.00
2024-06-20|11:00:00|PayrollTaxWithholding|IRS|-45000.00
2024-07-01|09:00:00|MRR|SubscriptionRevenue|115000.00
2024-08-01|09:00:00|MRR|SubscriptionRevenue|120000.00
2024-09-01|09:00:00|MRR|SubscriptionRevenue|125000.00
2024-10-01|09:00:00|MRR|SubscriptionRevenue|130000.00
2024-11-01|09:00:00|MRR|SubscriptionRevenue|135000.00
2024-12-01|09:00:00|MRR|SubscriptionRevenue|140000.00
2025-01-03|09:00:00|MRR|SubscriptionRevenue|150000.00
2025-01-10|10:00:00|OfficeRent-Jan|CompanyBankAcc|-14000.00
2025-02-28|09:00:00|Payroll-EngineeringTeam(Feb)|CompanyBankAcc|-185000.00
2025-02-28|09:05:00|Payroll-MarketingTeam(Feb)|CompanyBankAcc|-72000.00
2025-02-28|09:10:00|Payroll-AdminStaff(Feb)|CompanyBankAcc|-34000.00
2025-03-01|10:13:25|AnnualPerformanceBonuses|CompanyBankAcc|-150000.00
2025-03-01|10:15:10|SalesCommissionPayoutQ1|CompanyBankAcc|-45000.00
2025-03-15|14:22:11|OfficeEquipment-Desks|IKEA-Business|-8200.50
2025-03-18|11:03:44|OfficeEquipment-Laptops|AmazonBusiness|-12500.75
2025-03-20|16:41:09|SoftwareSubscription-SaaSTools|Microsoft|-3200.00
2025-04-01|09:00:00|MRR|SubscriptionRevenue|180000.00
2025-04-10|10:00:00|Payroll-FullCompanyCycle|CompanyBankAcc|-210000.00
2025-04-15|09:30:00|Invoice1002Payment|Client-NovaRetail|3200.00
2025-05-01|09:00:00|MRR|SubscriptionRevenue|190000.00
2025-05-12|10:00:00|EnterpriseContractRevenue|SalesRevenue|300000.00
2025-06-01|09:00:00|MRR|SubscriptionRevenue|200000.00
2025-06-20|11:00:00|PayrollTaxWithholding|IRS|-52000.00
2025-07-01|09:00:00|MRR|SubscriptionRevenue|210000.00
2025-08-01|09:00:00|MRR|SubscriptionRevenue|220000.00
2025-09-01|09:00:00|MRR|SubscriptionRevenue|230000.00
2025-10-01|09:00:00|MRR|SubscriptionRevenue|240000.00
2025-11-01|09:00:00|MRR|SubscriptionRevenue|245000.00
2025-12-01|09:00:00|MRR|SubscriptionRevenue|250000.00
2026-01-05|09:00:00|MRR|SubscriptionRevenue|260000.00
2026-01-10|10:00:00|OfficeRent-Jan|CompanyBankAcc|-16000.00
2026-02-01|09:00:00|MRR|SubscriptionRevenue|270000.00
2026-02-10|10:00:00|Payroll-EngineeringTeam(Feb)|CompanyBankAcc|-190000.00
2026-02-10|10:05:00|Payroll-MarketingTeam(Feb)|CompanyBankAcc|-80000.00
2026-02-10|10:10:00|Payroll-AdminStaff(Feb)|CompanyBankAcc|-36000.00
2026-02-15|11:03:44|OfficeEquipment-Laptops|AmazonBusiness|-14000.75
2026-03-01|10:13:25|OfficeHardware-Keyboards|AmazonBusiness|-2500.50
2026-03-05|10:23:25|OfficeHardware-Monitors|AmazonBusiness|-1500.00
2026-03-10|10:00:00|MRR|SubscriptionRevenue|280000.00
2026-03-15|10:00:00|Payroll-FullCompanyCycle|CompanyBankAcc|-250000.00
2026-03-18|12:00:00|StripeDepositBatch|StripePayout|800.00
2026-04-01|09:00:00|MRR|SubscriptionRevenue|290000.00
2026-04-15|10:13:25|OfficeSupplies-ErgonomicEquipment|AmazonBusiness|-89.50
2026-04-15|11:15:12|Invoice1001Payment|Client-JoeIndustries|1500.00
2026-04-16|09:30:00|Invoice1002Payment|Client-NovaRetail|3200.00
2026-04-24|08:00:00|MRR|SubscriptionRevenue|250000.00
2026-04-24|08:05:00|DRR|SubscriptionRevenue|1200.00
2026-04-24|08:10:00|StripeDepositBatch|StripePayout|800.00
2026-04-24|08:15:00|MRR|SubscriptionRevenue|1250000.00
2026-04-24|08:20:00|WeeklySalesRevenue|SalesRevenue|500000.00
2026-04-24|08:25:00|EnterpriseContractRevenue|SalesRevenue|700000.00
2026-04-24|18:58:35|Payroll-FullCompanyCycle|CompanyBankAcc|-250000.00
2026-04-24|19:00:00|PayrollTaxWithholding|IRS|-62000.00
2026-04-24|23:19:25|Daily Revenue|Stripe|15000.00
2026-04-27|11:58:02|WRR|Stripe|150000.00
2026-04-26|08:30:00|Debt|Credit Union|-150000.0
2026-04-26|13:30:00|Employee Payroll (Marketing)|CompanyBankAcc|-378000.0
2026-04-28|13:35:24|Bonus|CompanyBankAcc|-250000.0
2026-04-30|10:51:24|Cash|Gift|150.0
2026-04-30|14:48:33|Lawsuit Settlement|CompanyBankAcc|-850000.0
2026-05-01|09:00:00|Test|Test|1600